comuna,pacto,partido
RIO NEGRO,CHILE VAMOS,RENOVACION NACIONAL
RIO VERDE,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
ROMERAL,UNIDAD POR EL APRUEBO,PARTIDO SOCIALISTA DE CHILE
SAAVEDRA,INDEPENDIENTES,INDEPENDIENTES
SAGRADA FAMILIA,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
SALAMANCA,INDEPENDIENTES,INDEPENDIENTES
SAN ANTONIO,INDEPENDIENTES,INDEPENDIENTES
SAN BERNARDO,UNIDAD POR EL APRUEBO,PARTIDO SOCIALISTA DE CHILE
SAN CARLOS,UNIDAD POR EL APRUEBO,PARTIDO SOCIALISTA DE CHILE
SAN CLEMENTE,INDEPENDIENTES,INDEPENDIENTES
SAN ESTEBAN,INDEPENDIENTES,INDEPENDIENTES
SAN FABIAN,CHILE VAMOS,RENOVACION NACIONAL
SAN FELIPE,UNIDAD POR EL APRUEBO,INDEPENDIENTES-LISTA K
SAN FERNANDO,INDEPENDIENTES,INDEPENDIENTES
SAN GREGORIO,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
SAN IGNACIO,INDEPENDIENTES,INDEPENDIENTES
SAN JAVIER,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
SAN JOAQUIN,INDEPENDIENTES,INDEPENDIENTES
SAN JOSE DE MAIPO,UNIDAD POR EL APRUEBO,PARTIDO RADICAL DE CHILE
SAN JUAN DE LA COSTA,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
SAN MIGUEL,FRENTE AMPLIO,INDEPENDIENTES-LISTA XS
SAN NICOLAS,CHILE VAMOS,RENOVACION NACIONAL
SAN PABLO,CHILE VAMOS,RENOVACION NACIONAL
SAN PEDRO,UNIDAD POR EL APRUEBO,PARTIDO POR LA DEMOCRACIA
SAN PEDRO DE ATACAMA,CHILE DIGNO VERDE Y SOBERANO,INDEPENDIENTES-LISTA M
SAN PEDRO DE LA PAZ,INDEPENDIENTES,INDEPENDIENTES
SAN RAFAEL,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
SAN RAMON,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
SAN ROSENDO,INDEPENDIENTES,INDEPENDIENTES
SAN VICENTE,UNIDAD POR EL APRUEBO,INDEPENDIENTES-LISTA K
SANTA BARBARA,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
SANTA CRUZ,CHILE VAMOS,INDEPENDIENTES-LISTA XX
SANTA JUANA,INDEPENDIENTES,INDEPENDIENTES
SANTA MARIA,UNIDAD POR EL APRUEBO,PARTIDO POR LA DEMOCRACIA
SANTIAGO,CHILE DIGNO VERDE Y SOBERANO,PARTIDO COMUNISTA DE CHILE
SANTO DOMINGO,CHILE VAMOS,RENOVACION NACIONAL
SIERRA GORDA,INDEPENDIENTES,INDEPENDIENTES
TALAGANTE,UNIDAD POR EL APRUEBO,PARTIDO SOCIALISTA DE CHILE
TALCA,CHILE VAMOS,RENOVACION NACIONAL
TALCAHUANO,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
TALTAL,INDEPENDIENTES,INDEPENDIENTES
TEMUCO,UNIDAD POR EL APRUEBO,PARTIDO POR LA DEMOCRACIA
TENO,INDEPENDIENTES,INDEPENDIENTES
TEODORO SCHMIDT,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
TIERRA AMARILLA,CHILE DIGNO VERDE Y SOBERANO,PARTIDO COMUNISTA DE CHILE
TILTIL,FRENTE AMPLIO,REVOLUCION DEMOCRATICA
TIMAUKEL,INDEPENDIENTES,INDEPENDIENTES
TIRUA,INDEPENDIENTES,INDEPENDIENTES
TOCOPILLA,INDEPENDIENTES,INDEPENDIENTES
TOLTEN,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
TOME,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
TORRES DEL PAINE,INDEPENDIENTES,INDEPENDIENTES
TORTEL,UNIDAD POR EL APRUEBO,INDEPENDIENTES-LISTA K
TRAIGUEN,UNIDAD POR EL APRUEBO,INDEPENDIENTES-LISTA K
TREHUACO,INDEPENDIENTES,INDEPENDIENTES
TUCAPEL,CHILE VAMOS,RENOVACION NACIONAL
VALDIVIA,FRENTE AMPLIO,REVOLUCION DEMOCRATICA
VALLENAR,INDEPENDIENTES,INDEPENDIENTES
VALPARAISO,INDEPENDIENTES,INDEPENDIENTES
VICHUQUEN,INDEPENDIENTES,INDEPENDIENTES
VICTORIA,INDEPENDIENTES,INDEPENDIENTES
VICUÑA,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
VILCUN,CHILE VAMOS,RENOVACION NACIONAL
VILLA ALEGRE,CHILE VAMOS,INDEPENDIENTES-LISTA XX
